ID_Emplacement;Adresse;Code_post;Commune;Code_dept
0;CENTRALE 5;1370;SAINT-ETIENNE-DU-BOIS;1
1;DU CHATEAU 20;1170;CHEVRY;1
2;DU MONT BLANC 527;1220;DIVONNE-LES-BAINS;1
3;DE L'ABBE JOLIVET 2;1630;PERON;1
4;BUFFON 110;1200;VALSERHONE;1
5;JEAN FALCONNIER 179;1350;CULOZ;1
6;DE GENEVE 120;1630;ST-GENIS-POUILLY;1
7;DU RECULET 210;1630;ST-GENIS-POUILLY;1
8;JEAN DE GINGINS 465;1220;DIVONNE-LES-BAINS;1
9;DES CAPUCINES 36;1630;ST-GENIS-POUILLY;1
10;DE POUGNY 210;1630;PERON;1
11;DE VERDUN 1490;1100;OYONNAX;1
12;DU COMMERCE 20;1130;ST-GERMAIN-DE-JOUX;1
13;DE PRE BAILLY 650;1170;GEX;1
14;TURENNE 541;1200;VALSERHONE;1
15;DU SQUARE DE LAUSANNE 695;1220;DIVONNE-LES-BAINS;1
16;ALEXANDRE BERARD 40;1500;AMBERIEU-EN-BUGEY;1
17;DES LONGES RAYES 130;1170;CESSY;1
18;GRANDE RUE 45;1150;SAULT-BRENAZ;1
19;DE GEX 160;1210;FERNEY-VOLTAIRE;1
20;LES JARDINS DE CHEVRY 0;1170;CHEVRY;1
21;DES CARPIERES 25;1170;SEGNY;1
22;CHARLES DE GAULLE 55;1150;LAGNIEU;1
23;SUR LA VIGNETTE 33;1130;LE POIZAT-LALLEYRIAT;1
24;DES USINIERS 745;1170;GEX;1
25;DU JURA 135;1630;ST-GENIS-POUILLY;1
26;MARCEL DEMIA 455;1500;AMBERIEU-EN-BUGEY;1
27;DE CHARIGNIN 191;1300;BELLEY;1
28;DE BRETIGNY 37;1210;ORNEX;1
29;DES HETRES 124;1630;ST-GENIS-POUILLY;1
30;DE MEYRIN 170;1210;FERNEY-VOLTAIRE;1
31;DE LA MAIRIE 190;1350;CULOZ;1
32;GRANDE RUE DE BULLIEZ 182;1150;LAGNIEU;1
33;DE LA BIENNE 15;1590;DORTAN;1
34;REINE CLOTILDE 540;1500;AMBERIEU-EN-BUGEY;1
35;STE MARIE 730;1300;BELLEY;1
36;DE BOURG 25;1150;LAGNIEU;1
37;DU BIJOU 20;1210;FERNEY-VOLTAIRE;1
38;DE LA PLANCHE BRULEE 55;1210;FERNEY-VOLTAIRE;1
39;CHANTEPIE 16;1280;PREVESSIN-MOENS;1
40;DE LA ROCHE SAMUEL 53;1110;BRENOD;1
41;DE LA COMMUNE 1871 246;1500;AMBERIEU-EN-BUGEY;1
42;DE LA TOUR 135;1640;SAINT-JEAN-LE-VIEUX;1
43;DE LA PLANCHE BRULEE 55;1210;FERNEY-VOLTAIRE;1
44;DU DOCTEUR GREZEL 270;1130;NANTUA;1
45;DU DOC CHARCOT 70;1500;SAINT-DENIS-EN-BUGEY;1
46;DES TERRASSES 342;1710;THOIRY;1
47;AMPERE 40;1100;OYONNAX;1
48;GERARD DE NERVAL 95;1100;BELLIGNAT;1
49;DES HAUTAINS 130;1630;ST-GENIS-POUILLY;1
50;DU NEUTRINO 77;1280;PREVESSIN-MOENS;1
51;DE MEYRIN 170;1210;FERNEY-VOLTAIRE;1
52;MASONOD 410;1110;PLATEAU D'HAUTEVILLE;1
53;DES VERTES CAMPAGNES 755;1170;GEX;1
54;DE LA PLANCHE BRULEE 55;1210;FERNEY-VOLTAIRE;1
55;DE CHAMP FUSY 45;1630;ST-GENIS-POUILLY;1
56;DES PRUNUS 201;1630;ST-GENIS-POUILLY;1
57;DES MONTS JURA 75;1410;LELEX;1
58;DES SOUPIRS 752;1300;BELLEY;1
59;BLANCHE 12;1170;SEGNY;1
60;DES ABATTOIRS 11;1170;GEX;1
61;DES FRERES CAUDRON 295;1500;AMBERIEU-EN-BUGEY;1
62;DE LA REPUBLIQUE 490;1200;VALSERHONE;1
63;DU SAUGY 123;1210;ORNEX;1
64;CLOS CHAMP VRILLARD 0;1170;CESSY;1
65;DE L EGLISE 240;1170;GEX;1
66;DE L EGLISE 145;1150;LAGNIEU;1
67;SIMON VAN DER MEER 109;1280;PREVESSIN-MOENS;1
68;DE PRE BAILLY 650;1170;GEX;1
69;DE DIVONNE 55;1170;VESANCY;1
