ID_Emplacement;Adresse;Code postal;Commune;Code departement
0;5 CENTRALE;1370;SAINT-ETIENNE-DU-BOIS;1
1;20 DU CHATEAU;1170;CHEVRY;1
2;527 DU MONT BLANC;1220;DIVONNE-LES-BAINS;1
3;2 DE L'ABBE JOLIVET;1630;PERON;1
4;110 BUFFON;1200;VALSERHONE;1
5;179 JEAN FALCONNIER;1350;CULOZ;1
6;120 DE GENEVE;1630;ST-GENIS-POUILLY;1
7;210 DU RECULET;1630;ST-GENIS-POUILLY;1
8;465 JEAN DE GINGINS;1220;DIVONNE-LES-BAINS;1
9;36 DES CAPUCINES;1630;ST-GENIS-POUILLY;1
10;210 DE POUGNY;1630;PERON;1
11;1490 DE VERDUN;1100;OYONNAX;1
12;20 DU COMMERCE;1130;ST-GERMAIN-DE-JOUX;1
13;650 DE PRE BAILLY;1170;GEX;1
14;541 TURENNE;1200;VALSERHONE;1
15;695 DU SQUARE DE LAUSANNE;1220;DIVONNE-LES-BAINS;1
16;40 ALEXANDRE BERARD;1500;AMBERIEU-EN-BUGEY;1
17;130 DES LONGES RAYES;1170;CESSY;1
18;45 GRANDE RUE;1150;SAULT-BRENAZ;1
19;160 DE GEX;1210;FERNEY-VOLTAIRE;1
20;0 LES JARDINS DE CHEVRY;1170;CHEVRY;1
21;25 DES CARPIERES;1170;SEGNY;1
22;55 CHARLES DE GAULLE;1150;LAGNIEU;1
23;33 SUR LA VIGNETTE;1130;LE POIZAT-LALLEYRIAT;1
24;745 DES USINIERS;1170;GEX;1
25;135 DU JURA;1630;ST-GENIS-POUILLY;1
26;455 MARCEL DEMIA;1500;AMBERIEU-EN-BUGEY;1
27;191 DE CHARIGNIN;1300;BELLEY;1
28;37 DE BRETIGNY;1210;ORNEX;1
29;124 DES HETRES;1630;ST-GENIS-POUILLY;1
30;170 DE MEYRIN;1210;FERNEY-VOLTAIRE;1
31;190 DE LA MAIRIE;1350;CULOZ;1
32;182 GRANDE RUE DE BULLIEZ;1150;LAGNIEU;1
33;15 DE LA BIENNE;1590;DORTAN;1
34;540 REINE CLOTILDE;1500;AMBERIEU-EN-BUGEY;1
35;730 STE MARIE;1300;BELLEY;1
36;25 DE BOURG;1150;LAGNIEU;1
37;20 DU BIJOU;1210;FERNEY-VOLTAIRE;1
38;55 DE LA PLANCHE BRULEE;1210;FERNEY-VOLTAIRE;1
39;16 CHANTEPIE;1280;PREVESSIN-MOENS;1
40;53 DE LA ROCHE SAMUEL;1110;BRENOD;1
41;246 DE LA COMMUNE 1871;1500;AMBERIEU-EN-BUGEY;1
42;135 DE LA TOUR;1640;SAINT-JEAN-LE-VIEUX;1
43;55 DE LA PLANCHE BRULEE;1210;FERNEY-VOLTAIRE;1
44;270 DU DOCTEUR GREZEL;1130;NANTUA;1
45;70 DU DOC CHARCOT;1500;SAINT-DENIS-EN-BUGEY;1
46;342 DES TERRASSES;1710;THOIRY;1
47;40 AMPERE;1100;OYONNAX;1
48;95 GERARD DE NERVAL;1100;BELLIGNAT;1
49;130 DES HAUTAINS;1630;ST-GENIS-POUILLY;1
50;77 DU NEUTRINO;1280;PREVESSIN-MOENS;1
51;170 DE MEYRIN;1210;FERNEY-VOLTAIRE;1
52;410 MASONOD;1110;PLATEAU D'HAUTEVILLE;1
53;755 DES VERTES CAMPAGNES;1170;GEX;1
54;55 DE LA PLANCHE BRULEE;1210;FERNEY-VOLTAIRE;1
55;45 DE CHAMP FUSY;1630;ST-GENIS-POUILLY;1
56;201 DES PRUNUS;1630;ST-GENIS-POUILLY;1
57;75 DES MONTS JURA;1410;LELEX;1
58;752 DES SOUPIRS;1300;BELLEY;1
59;12 BLANCHE;1170;SEGNY;1
60;11 DES ABATTOIRS;1170;GEX;1
61;295 DES FRERES CAUDRON;1500;AMBERIEU-EN-BUGEY;1
62;490 DE LA REPUBLIQUE;1200;VALSERHONE;1
63;123 DU SAUGY;1210;ORNEX;1
64;0 CLOS CHAMP VRILLARD;1170;CESSY;1
65;240 DE L EGLISE;1170;GEX;1
66;145 DE L EGLISE;1150;LAGNIEU;1
67;109 SIMON VAN DER MEER;1280;PREVESSIN-MOENS;1
68;650 DE PRE BAILLY;1170;GEX;1
69;55 DE DIVONNE;1170;VESANCY;1
