ID_Transactions;Date_mut;Val_fonc;ID_Bien
0;03/02/2020;56000;0
1;02/01/2020;165000;1
2;08/01/2020;720000;2
3;06/01/2020;429250;3
4;07/01/2020;220900;4
5;21/01/2020;42000;5
6;07/01/2020;262000;6
7;08/01/2020;190000;7
8;16/01/2020;563130;8
9;17/01/2020;535000;9
10;16/01/2020;330000;10
11;27/01/2020;110600;11
12;30/01/2020;50000;12
13;09/01/2020;212000;13
14;15/01/2020;160000;14
15;20/01/2020;561550;15
16;28/01/2020;358000;16
17;22/01/2020;220000;17
18;27/01/2020;79300;18
19;06/01/2020;285000;19
20;27/01/2020;123100;20
21;16/01/2020;107500;21
22;30/01/2020;128810;22
23;05/02/2020;31000;23
24;21/01/2020;125000;24
25;31/01/2020;285000;25
26;03/02/2020;140500;26
27;27/01/2020;101050;27
28;31/01/2020;530000;28
29;29/01/2020;486415;29
30;28/01/2020;185000;30
31;16/01/2020;131376;31
32;23/01/2020;155000;32
33;31/01/2020;150000;33
34;03/02/2020;67000;34
35;13/01/2020;114000;35
36;07/02/2020;143850;36
37;23/01/2020;237900;37
38;24/01/2020;425000;38
39;06/02/2020;220000;39
40;07/02/2020;55000;40
41;07/02/2020;164665;41
42;10/02/2020;89000;42
43;06/02/2020;475150;43
44;12/02/2020;132500;44
45;05/02/2020;68000;45
46;30/01/2020;570840;46
47;03/02/2020;135700;47
48;05/02/2020;62500;48
49;03/02/2020;332500;49
50;07/02/2020;428000;50
51;28/01/2020;210000;51
52;12/02/2020;50000;52
53;28/01/2020;592487;53
54;10/02/2020;295000;54
55;12/02/2020;133000;55
56;29/01/2020;580450;56
57;20/02/2020;105500;57
58;04/02/2020;152900;58
59;05/02/2020;352300;59
60;17/02/2020;215000;60
61;14/02/2020;128460;61
62;14/02/2020;90500;62
63;11/02/2020;305500;63
64;18/02/2020;430000;64
65;04/02/2020;152470;65
66;13/02/2020;55000;66
67;18/02/2020;465660;67
68;12/02/2020;167550;68
69;11/02/2020;212862;69
70;19/02/2020;54000;70
71;14/02/2020;390000;71
72;24/02/2020;160000;72
73;25/02/2020;156580;73
74;18/02/2020;129258;74
75;28/02/2020;210000;75
76;17/02/2020;189350;76
77;21/02/2020;310000;77
78;25/02/2020;435000;78
79;20/02/2020;505000;79
80;25/02/2020;442100;80
81;17/02/2020;506000;81
82;12/02/2020;292000;82
83;03/03/2020;200000;83
84;27/02/2020;315800;84
85;28/02/2020;167000;85
86;25/02/2020;640000;86
87;28/02/2020;74000;87
88;04/03/2020;232550;88
89;04/03/2020;90000;89
90;09/03/2020;282000;90
91;03/03/2020;152000;91
92;17/03/2020;164000;92
93;05/03/2020;389500;93
94;11/03/2020;43000;94
95;28/02/2020;139130;95
96;11/03/2020;229100;96
97;10/03/2020;222450;97
98;16/03/2020;147500;98
99;10/03/2020;440000;99
100;02/03/2020;495000;100
101;11/03/2020;510000;101
102;27/03/2020;170000;102
103;03/03/2020;251500;103
104;19/03/2020;98000;104
105;25/03/2020;132300;105
106;10/03/2020;126000;106
107;16/03/2020;131500;107
108;12/03/2020;266960;108
109;31/03/2020;114500;109
110;11/03/2020;181970;110
111;19/03/2020;70000;111
112;01/04/2020;45000;112
113;07/04/2020;375000;113
114;18/03/2020;247000;114
115;16/03/2020;16300;115
116;16/03/2020;60000;116
117;31/03/2020;164000;117
118;17/03/2020;93585;118
119;03/04/2020;210000;119
120;14/03/2020;120000;120
121;10/04/2020;50000;121
122;03/04/2020;174850;122
123;22/04/2020;223905;123
124;15/04/2020;540000;124
125;15/04/2020;230000;125
126;08/04/2020;445000;126
127;27/04/2020;44000;127
128;09/04/2020;145900;128
129;22/04/2020;57000;129
130;21/04/2020;138000;130
