ID_Transactions;Date mutation;Valeur fonciere;ID_Bien;ID_Emplacement
0;43864;56000;0;0
1;43832;165000;1;1
2;43838;720000;2;2
3;43836;429250;3;3
4;43837;220900;4;4
5;43851;42000;5;5
6;43837;262000;6;6
7;43838;190000;7;7
8;43846;563130;8;8
9;43847;535000;9;9
10;43846;330000;10;10
11;43857;110600;11;11
12;43860;50000;12;12
13;43839;212000;13;13
14;43845;160000;14;14
15;43850;561550;15;15
16;43858;358000;16;16
17;43852;220000;17;17
18;43857;79300;18;18
19;43836;285000;19;19
20;43857;123100;20;20
21;43846;107500;21;21
22;43860;128810;22;22
23;43866;31000;23;23
24;43851;125000;24;24
25;43861;285000;25;25
26;43864;140500;26;26
27;43857;101050;27;27
28;43861;530000;28;28
29;43859;486415;29;29
30;43858;185000;30;30
31;43846;131376;31;31
32;43853;155000;32;32
33;43861;150000;33;33
34;43864;67000;34;34
35;43843;114000;35;35
36;43868;143850;36;36
37;43853;237900;37;37
38;43854;425000;38;38
39;43867;220000;39;39
40;43868;55000;40;40
41;43868;164665;41;41
42;43871;89000;42;42
43;43867;475150;43;43
44;43873;132500;44;44
45;43866;68000;45;45
46;43860;570840;46;46
47;43864;135700;47;47
48;43866;62500;48;48
49;43864;332500;49;49
50;43868;428000;50;50
51;43858;210000;51;51
52;43873;50000;52;52
53;43858;592487;53;53
54;43871;295000;54;54
55;43873;133000;55;55
56;43859;580450;56;56
57;43881;105500;57;57
58;43865;152900;58;58
59;43866;352300;59;59
60;43878;215000;60;60
61;43875;128460;61;61
62;43875;90500;62;62
63;43872;305500;63;63
64;43879;430000;64;64
65;43865;152470;65;65
66;43874;55000;66;66
67;43879;465660,47;67;67
68;43873;167550;68;68
69;43872;212862;69;69
70;43880;54000;70;70
71;43875;390000;71;71
72;43885;160000;72;72
73;43886;156580;73;73
74;43879;129258;74;74
75;43889;210000;75;75
76;43878;189350;76;76
77;43882;310000;77;77
78;43886;435000;78;78
79;43881;505000;79;79
80;43886;442100;80;80
81;43878;506000;81;81
82;43873;292000;82;82
83;43893;200000;83;83
84;43888;315800;84;84
85;43889;167000;85;85
86;43886;640000;86;86
87;43889;74000;87;87
88;43894;232550;88;88
89;43894;90000;89;89
90;43899;282000;90;90
91;43893;152000;91;91
92;43907;164000;92;92
93;43895;389500;93;93
94;43901;43000;94;94
95;43889;139130;95;95
96;43901;229100;96;96
97;43900;222450;97;97
98;43906;147500;98;98
99;43900;440000;99;99
100;43892;495000;100;100
101;43901;510000;101;101
102;43917;170000;102;102
103;43893;251500;103;103
104;43909;98000;104;104
105;43915;132300;105;105
106;43900;126000;106;106
107;43906;131500;107;107
108;43902;266960;108;108
109;43921;114500;109;109
110;43901;181970;110;110
111;43909;70000;111;111
112;43922;45000;112;112
113;43928;375000;113;113
114;43908;247000;114;114
115;43906;16300;115;115
116;43906;60000;116;116
117;43921;164000;117;117
118;43907;93585;118;118
119;43924;210000;119;119
120;43904;120000;120;120
121;43931;50000;121;121
122;43924;174850;122;122
123;43943;223905;123;123
124;43936;540000;124;124
125;43936;230000;125;125
126;43929;445000;126;126
127;43948;44000;127;127
128;43930;145900;128;128
129;43943;57000;129;129
130;43942;138000;130;130
131;43930;190000;131;131
132;43906;182000;132;132
133;43916;271000;133;133
134;43949;114400;134;134
135;43950;98000;135;135
136;43938;505000;136;136
137;43945;289150;137;137
138;43950;104000;138;138
139;43951;245000;139;139
140;43957;115000;140;140
141;43958;483800;141;141
142;43958;185000;142;142
143;43958;188000;143;143
144;43964;185000;144;144
145;43956;162000;145;145
146;43938;76000;146;146
147;43950;367000;147;147
148;43970;324050;148;148
149;43971;170000;149;149
150;43966;79370;150;150
151;43966;69800;151;151
152;43969;54120;152;152
153;43970;116500;153;153
154;43963;136000;154;154
155;43963;234810;155;155
156;43966;410000;156;156
157;43965;205000;157;157
158;43957;294000;158;158
159;43962;620000;159;159
160;43963;230000;160;160
161;43966;469820;161;161
162;43980;371550;162;162
163;43963;315000;163;163
164;43971;82500;164;164
165;43963;439785;165;165
166;43969;65000;166;166
167;43966;469000;167;167
168;43969;161000;168;168
169;43970;513350;169;169
170;43984;83000;170;170
171;43984;471810;171;171
172;43993;220470;172;172
173;43986;243000;173;173
174;43986;100000;174;174
175;43980;193700;175;175
176;43986;100000;176;176
177;43999;595600;177;177
178;44008;225000;178;178
179;43844;106000;179;179
180;43840;203400;180;180
181;43837;212150;181;181
182;43833;102000;182;182
183;43846;150200;183;183
184;43843;129400;184;184
185;43927;130000;185;185
186;43966;84800;186;186
187;43971;282600;187;187
188;43973;145100;188;188
189;43846;87000;189;189
190;43833;142000;190;190
191;43845;66000;191;191
192;43852;71500;192;192
193;43840;68100;193;193
194;43854;58900;194;194
195;43878;37900;195;195
196;43875;70000;196;196
197;43882;112900;197;197
198;43882;39500;198;198
199;43885;39900;199;199
200;43880;78100;200;200
201;43867;37015;201;201
202;43902;93000;202;202
203;43930;35000;203;203
204;43927;42500;204;204
205;43930;88000;205;205
206;43957;80900;206;206
207;43955;34000;207;207
208;43969;84000;208;208
209;43962;90000;209;209
210;43977;81500;210;210
211;43977;27000;211;211
212;43977;20000;212;212
213;43980;137000;213;213
214;43981;44500;214;214
215;43987;75000;215;215
216;43973;44000;216;216
217;44007;32500;217;217
218;44005;35500;218;218
219;44006;365000;219;219
220;44006;55000;220;220
221;44012;29500;221;221
222;43845;370000;222;222
223;43868;41000;223;223
224;43896;107000;224;224
225;44001;68700;225;225
226;43840;290000;226;226
227;43865;57000;227;227
228;43861;274000;228;228
229;43867;39000;229;229
230;43879;102345;230;230
231;43868;63500;231;231
232;43865;181000;232;232
233;43874;125000;233;233
234;43874;59000;234;234
235;43878;63000;235;235
236;43866;90000;236;236
237;43861;110000;237;237
238;43873;81000;238;238
239;43880;67000;239;239
240;43879;30000;240;240
