ID_adresse;adresse
0;5 CENTRALE
1;20 DU CHATEAU
2;527 DU MONT BLANC
3;2 DE L'ABBE JOLIVET
4;110 BUFFON
5;179 JEAN FALCONNIER
6;120 DE GENEVE
7;210 DU RECULET
8;465 JEAN DE GINGINS
9;36 DES CAPUCINES
10;210 DE POUGNY
11;1490 DE VERDUN
12;20 DU COMMERCE
13;650 DE PRE BAILLY
14;541 TURENNE
15;695 DU SQUARE DE LAUSANNE
16;40 ALEXANDRE BERARD
17;130 DES LONGES RAYES
18;45 GRANDE RUE
19;160 DE GEX
20;A036 LES JARDINS DE CHEVRY
21;25 DES CARPIERES
22;55 CHARLES DE GAULLE
23;33 SUR LA VIGNETTE
24;745 DES USINIERS
25;135 DU JURA
26;455 MARCEL DEMIA
27;191 DE CHARIGNIN
28;37 DE BRETIGNY
29;124 DES HETRES
30;170 DE MEYRIN
31;190 DE LA MAIRIE
32;182 GRANDE RUE DE BULLIEZ
33;15 DE LA BIENNE
34;540 REINE CLOTILDE
35;730 STE MARIE
36;25 DE BOURG
37;20 DU BIJOU
38;55 DE LA PLANCHE BRULEE
39;16 CHANTEPIE
40;53 DE LA ROCHE SAMUEL
41;246 DE LA COMMUNE 1871
42;135 DE LA TOUR
43;55 DE LA PLANCHE BRULEE
44;270 DU DOCTEUR GREZEL
45;70 DU DOC CHARCOT
46;342 DES TERRASSES
47;40 AMPERE
48;95 GERARD DE NERVAL
49;130 DES HAUTAINS
50;77 DU NEUTRINO
51;170 DE MEYRIN
52;410 MASONOD
53;755 DES VERTES CAMPAGNES
54;55 DE LA PLANCHE BRULEE
55;45 DE CHAMP FUSY
56;201 DES PRUNUS
57;75 DES MONTS JURA
58;752 DES SOUPIRS
59;12 BLANCHE
60;11 DES ABATTOIRS
61;295 DES FRERES CAUDRON
62;490 DE LA REPUBLIQUE
63;123 DU SAUGY
64;A010 CLOS CHAMP VRILLARD
65;240 DE L EGLISE
66;145 DE L EGLISE
67;109 SIMON VAN DER MEER
68;650 DE PRE BAILLY
69;55 DE DIVONNE
70;340 LAMARTINE
71;275 DU PETIT CHAMP
72;367 DES VERGERS
73;54 DES FRENES
74;398 JEAN MONNET
75;161 DE LA BATISSE
76;120 DE GENEVE
77;175 DE VERSOIX
78;37 DE BRETIGNY
79;145 DE MURY
80;82 LA PIECE
81;77 DU NEUTRINO
82;77 DU NEUTRINO
83;367 DES VERGERS
84;5 DE CESSY
85;509 DE SAVOIE
86;490 DE LAUSANNE
87;550 DE LA REPUBLIQUE
88;560 DE VOUVRAY
89;560 DE VOUVRAY
90;720 DES VOIRONS
91;41 DE BELLE FERME
92;30 CLAIRES FONTAINES
93;88 VICTOR HUGO
94;690 DE LA REPUBLIQUE
95;310 CASTELLION
96;85 DE VESSY
97;41 DE BELLE FERME
98;100 DES APOTRES
99;46 GRAND' RUE
100;165 DE LA PIERRE
101;112 DES PRALETS
102;50 DE LA ROCHETTE
103;118 GEORGES CHARPAK
104;60 DE LA FLAUDIERE
105;560 DE VOUVRAY
106;B102 MATAFELON
107;227 GEORGES MARIN
108;18 DES BATTOIRS
109;326 CHARLES DE GAULLE
110;32 ANTOINE JACQUET
111;B013 LE BULOZ
112;270 DU DOCTEUR GREZEL
113;88 DE PRE DE PLANCHE
114;155 DU MARTINET
115;1040 DU MURET
116;16 DU CHANE
117;257 JOLIOT CURIE
118;70 DU LAVOIR
119;745 DES USINIERS
120;431 HONORE DE BALZAC
121;172 DES FRERES SERPOLLET
122;56 DE LA RABOUDIERE
123;170 DE MEYRIN
124;190 HAMEAU DES CHENES
125;325 DES ECOLIERS
126;155 DE GENEVE
127;100 DES PISTES
128;171 DU PEGAN
129;68 DE L HOTEL DE VILLE
130;805 COLONEL XAVIER RENDU
131;309 FRANCIS BLANCHARD
132;75 DES MORAINES
133;155 DU MARTINET
134;110 BUFFON
135;440 PARMENTIER
136;221 JEAN-JACQUES ROUSSEAU
137;253 DU CONTE DES PERMISSIONS
138;305 JOSEPH MARION
139;755 DES VERTES CAMPAGNES
140;315 PASTEUR
141;75 DES ECOLES
142;110 DU VIEUX BOURG
143;120 ARISTIDE BRIAND
144;15 DE L AMITIE
145;130 DES HAUTAINS
146;B032 LES MARS
147;10 DES ALPES
148;155 DES PRELES
149;320 DU GEN SARRAIL
150;63 DE L AVENIR
151;541 TURENNE
152;112 GUSTAVE EIFFEL
153;25 DU JURA
154;227 GEORGES MARIN
155;650 DE PRE BAILLY
156;123 DU SAUGY
157;18 DES BATTOIRS
158;650 DE PRE BAILLY
159;31 DES COLLINES
160;170 DE MEYRIN
161;169 PARC JEAN MONNET
162;567 DU PEUDEX
163;294 DU PONT DE GREMAZ
164;14 ALBERT CAMUS
165;130 DES HAUTAINS
166;375 DES FOURS
167;59 DU MARAIS
168;85 DE GENEVE
169;100 D ARBERE
170;218 DE CHAVORNOD
171;487 DU JURA
172;130 DES LONGES RAYES
173;660 GRANDE RUE
174;680 DES TERREAUX
175;105 DU COTEILLON
176;90 DE LA REPUBLIQUE
177;201 DES PRUNUS
178;100 DE LA PRALAY
179;560 DES NATIONS
180;461 DE LAYE
181;40 DE BELLEVILLE
182;520 NEUVE
183;160 EDOUARD HERRIOT
184;75 HECTOR BERLIOZ
185;510 DE LYON
186;186 DE GENEVE
187;30 DU BONATIER
188;140 DES CANNES
189;925 LUCIEN QUITTELIER
190;910 FERNAND THUILLART
191;535 CONDORCET
192;2278 DU REMPART SAINT REMY
193;250 BONNOT
194;301 MAZIN
195;2040 PAUL DOUMER
196;1070 DES OEUVRES DE CHINE
197;2860 VINCHON
198;400 DU CHANGE
199;2040 PAUL DOUMER
200;2040 PAUL DOUMER
201;350 CARLIER HENNECART
202;1333 JEAN DE LA FONTAINE
203;1334 JEAN RACINE
204;1700 DU MARCHE
205;1590 DE LA LINOTTE
206;535 CONDORCET
207;1930 DES NEUFLIERS
208;39 DE L EGLISE
209;190 BOUZIER
210;535 CONDORCET
211;2620 SERURIER
212;130 DE MONTEVIDEO
213;2555 GAMBETTA
214;1590 DE LA LINOTTE
215;1590 DE LA LINOTTE
216;1590 DE LA LINOTTE
217;78 ROBERT GODARD
218;540 DE LA CONGREGATION
219;45 AMPERE
220;360 CARNOT
221;2620 SERURIER
222;5210 DE LA SELLERIE
223;2920 D ISLE
224;2670 DU GOUVERNEMENT
225;5500 VARLET
226;800 FERNAND MARQUIGNY
227;110 DU MOULIN BOTTE
228;1660 DES PAVEURS
229;1130 JEANNE D ARC
230;1082 JEAN DELAPLACE
231;2180 DE LA SURCHETTE
232;1830 QUINQUET
233;115 DU PONT DE LA TOURNELLE
234;50 DE FONTENOY
235;B054 LA FOSSE SALMON
236;6 SAINT DENIS
237;615 ROGER SALENGRO
238;330 DU CHAMP BOUILLANT
239;1910 DE LA RESISTANCE
240;1760 PORTE CROUY
241;A040 DE LA QUINCY
242;270 PETITE RUE SAINT VINCENT
243;70 DE BAPAUME
244;1192 DE LAON
245;950 DES GRAVIERS
246;330 DU CHAMP BOUILLANT
247;1490 NOTRE DAME
248;20 ALEXANDRE DUMAS
249;40 FERNAND BAZIN
250;170 DU DOCTEUR MOUFLIER
251;760 EDOUARD BRANLY
252;760 EDOUARD BRANLY
253;1192 DE LAON
254;360 D OULCHY LE CHATEAU
255;2210 THIERS
256;1122 JEAN MOULIN
257;1760 PORTE CROUY
258;170 DU DOCTEUR MOUFLIER
259;890 DU GENERAL DE GAULLE
260;710 VICTOR HUGO
261;302 DU GRAND MONTOIR
262;1540 DE PANLEU
263;890 DU GENERAL DE GAULLE
264;1192 DE LAON
265;40 FERNAND BAZIN
266;760 EDOUARD BRANLY
267;760 EDOUARD BRANLY
268;1130 JEANNE D ARC
269;814 DE LA MARE AUX CANES
270;640 DE L HOTEL DE VILLE
271;590 GRANDE RUE
272;A047 RENOIR
273;160 PAUL CLAUDEL
274;950 DE LA FRATERNITE
275;720 DENAIN
276;950 DE LA FRATERNITE
277;950 DE LA FRATERNITE
278;459 CHARLES PEGUY
279;A063 PARC MONTFAULT
280;2170 DU VERT GALANT
281;1320 DU PRE DE MOLLES
282;990 DE LYON
283;865 JACQUES VINCENT
