ID_bien;Surface Carrez du 1er lot;Code type local;Type local;Nombre pieces principales;ID_commune
0;50.42;2;Appartement;2;0
1;48.22;2;Appartement;3;1
2;130.8;2;Appartement;6;2
3;109.22;1;Maison;5;3
4;108.65;2;Appartement;4;4
5;31.65;2;Appartement;2;5
6;52.58;2;Appartement;2;6
7;58.71;2;Appartement;2;7
8;93.23;1;Maison;4;8
9;117;1;Maison;5;9
10;35.6;2;Appartement;2;10
11;138.03;2;Appartement;5;11
12;42;2;Appartement;2;12
13;45.36;2;Appartement;2;13
14;82.6;2;Appartement;4;14
15;88.11;2;Appartement;4;15
16;164.87;2;Appartement;6;16
17;42.2;2;Appartement;2;17
18;68.11;2;Appartement;3;18
19;82.59;2;Appartement;3;19
20;30.23;2;Appartement;1;20
21;24.8;2;Appartement;1;21
22;52.6;2;Appartement;2;22
23;91.69;2;Appartement;3;23
24;45.54;2;Appartement;1;24
25;84.24;2;Appartement;3;25
26;68.23;2;Appartement;3;26
27;62.03;2;Appartement;3;27
28;112.93;1;Maison;4;28
29;131.91;2;Appartement;4;29
30;63.58;2;Appartement;3;30
31;35.86;2;Appartement;3;31
32;70.09;2;Appartement;3;32
33;200;2;Appartement;4;33
34;54.84;2;Appartement;2;34
35;72.75;2;Appartement;4;35
36;94.09;1;Maison;2;36
37;71.08;2;Appartement;3;37
38;97.03;1;Maison;4;38
39;44.48;2;Appartement;2;39
40;64.21;2;Appartement;2;40
41;70.1;1;Maison;3;41
42;76.7;2;Appartement;4;42
43;133.77;2;Appartement;4;43
44;107.61;2;Appartement;5;44
45;42.78;2;Appartement;2;45
46;124.55;1;Maison;5;46
47;68.11;2;Appartement;2;47
48;70.78;2;Appartement;3;48
49;112.3;2;Appartement;5;49
50;95.43;1;Maison;4;50
51;63.45;2;Appartement;3;51
52;77.3;2;Appartement;4;52
53;164.18;1;Maison;6;53
54;66.95;2;Appartement;3;54
55;30.62;2;Appartement;1;55
56;165.92;2;Appartement;5;56
57;51.99;2;Appartement;2;57
58;63.17;2;Appartement;3;58
59;84.97;2;Appartement;3;59
60;88.7;2;Appartement;4;60
61;50.64;2;Appartement;2;61
62;38;2;Appartement;1;62
63;70.53;2;Appartement;3;63
64;105.68;1;Maison;6;64
65;46.12;2;Appartement;3;65
66;37.63;2;Appartement;2;66
67;87.38;2;Appartement;4;67
68;50.33;2;Appartement;2;68
69;134.17;2;Appartement;4;69
70;47.65;2;Appartement;3;70
71;99.13;1;Maison;4;71
72;43.42;2;Appartement;2;72
73;83.6;1;Maison;4;73
74;54.65;2;Appartement;2;74
75;81.15;2;Appartement;3;75
76;53.43;2;Appartement;3;76
77;74.85;2;Appartement;3;77
78;90.33;1;Maison;4;78
79;99.39;1;Maison;4;79
80;123.16;1;Maison;5;80
81;110.13;1;Maison;5;81
82;71.43;2;Appartement;3;82
83;56.02;2;Appartement;3;83
84;85.12;2;Appartement;4;84
85;75;2;Appartement;4;85
86;135.68;2;Appartement;4;86
87;35.59;2;Appartement;2;87
88;62.38;2;Appartement;3;88
89;92.04;2;Appartement;4;89
90;46.05;2;Appartement;2;90
91;34.56;2;Appartement;2;91
92;43.23;2;Appartement;2;92
93;83.82;1;Maison;4;93
94;38.67;2;Appartement;2;94
95;88;2;Appartement;3;95
96;56.96;2;Appartement;2;96
97;55.4;2;Appartement;3;97
98;74.72;2;Appartement;2;98
99;295.21;2;Appartement;6;99
100;222.97;1;Maison;3;100
101;113.52;2;Appartement;4;101
102;127.2;2;Appartement;4;102
103;47.6;2;Appartement;2;103
104;65.29;2;Appartement;3;104
105;81.24;2;Appartement;4;105
106;42.89;2;Appartement;2;106
107;69.66;2;Appartement;3;107
108;69.65;2;Appartement;3;108
109;64.44;2;Appartement;3;109
110;88.83;2;Appartement;4;110
111;35.3;2;Appartement;3;111
112;45.5;2;Appartement;2;112
113;73.77;1;Maison;4;113
114;67.94;2;Appartement;3;114
115;22.2;2;Appartement;1;115
116;48.38;2;Appartement;2;116
117;56.65;2;Appartement;2;117
118;32.27;2;Appartement;2;118
119;61.54;2;Appartement;4;119
120;82.37;1;Maison;4;120
121;53.81;2;Appartement;3;121
122;71.8;2;Appartement;3;122
123;63.54;2;Appartement;3;123
124;101.52;1;Maison;6;124
125;51.7;2;Appartement;2;125
126;114.17;2;Appartement;4;126
127;21.48;2;Appartement;2;127
128;36.21;2;Appartement;1;128
129;44.24;2;Appartement;2;129
130;54.7;2;Appartement;2;130
131;51;2;Appartement;2;131
132;42.92;2;Appartement;2;132
133;68.08;2;Appartement;3;133
134;70.15;2;Appartement;3;134
135;57.23;2;Appartement;2;135
136;132.16;2;Appartement;5;136
137;58.62;2;Appartement;2;137
138;61.89;2;Appartement;3;138
139;92.45;2;Appartement;3;139
140;71.29;2;Appartement;3;140
141;138.05;1;Maison;5;141
142;45.12;2;Appartement;1;142
143;70.45;2;Appartement;3;143
144;78.54;2;Appartement;4;144
145;52.58;2;Appartement;2;145
146;30.98;2;Appartement;2;146
147;95.66;2;Appartement;5;147
148;87.23;2;Appartement;4;148
149;92.47;2;Appartement;5;149
150;89.2;2;Appartement;5;150
151;28.8;2;Appartement;1;151
152;46.68;2;Appartement;2;152
153;2.36;2;Appartement;0;153
154;68.92;2;Appartement;3;154
155;68.45;2;Appartement;3;155
156;102.52;1;Maison;4;156
157;59.67;2;Appartement;2;157
158;77.86;2;Appartement;4;158
159;105.12;1;Maison;4;159
160;63.27;2;Appartement;3;160
161;133.24;2;Appartement;4;161
162;67.33;2;Appartement;3;162
163;68.69;2;Appartement;3;163
164;58.3;2;Appartement;2;164
165;111.06;2;Appartement;5;165
166;117.63;2;Appartement;5;166
167;85.12;2;Appartement;4;167
168;42.01;2;Appartement;2;168
169;96.46;1;Maison;5;169
170;57.5;2;Appartement;3;170
171;90.4;2;Appartement;4;171
172;42.59;2;Appartement;2;172
173;50.11;2;Appartement;1;173
174;32.6;2;Appartement;2;174
175;103.62;1;Maison;4;175
176;135.89;2;Appartement;2;176
177;166.98;2;Appartement;5;177
178;58.13;2;Appartement;2;178
179;38.67;2;Appartement;2;179
180;120.5;1;Maison;5;180
181;86.8;2;Appartement;3;181
182;41.82;2;Appartement;1;182
183;56.63;2;Appartement;2;183
184;79.06;2;Appartement;3;184
185;65.82;2;Appartement;3;185
186;38.43;2;Appartement;3;186
187;85.95;2;Appartement;4;187
188;48.42;2;Appartement;2;188
189;80.87;1;Maison;4;189
190;165.11;2;Appartement;6;190
191;71.5;2;Appartement;4;191
192;82.54;2;Appartement;3;192
193;39.97;2;Appartement;2;193
194;146.68;2;Appartement;4;194
195;31.6;2;Appartement;2;195
196;92;1;Maison;4;196
197;73.5;2;Appartement;3;197
198;23.82;2;Appartement;1;198
199;37.3;2;Appartement;2;199
200;49.1;2;Appartement;2;200
201;30.94;2;Appartement;1;201
202;65.66;1;Maison;3;202
203;27.19;2;Appartement;1;203
204;46.92;2;Appartement;2;204
205;78.3;1;Maison;4;205
206;88.5;2;Appartement;5;206
207;24.05;2;Appartement;1;207
208;92.54;1;Maison;4;208
209;60.05;2;Appartement;3;209
210;89;2;Appartement;5;210
211;23.86;2;Appartement;1;211
212;25;2;Appartement;3;212
213;148.41;2;Appartement;5;213
214;47.44;2;Appartement;2;214
215;80.14;1;Maison;4;215
216;53.42;2;Appartement;3;216
217;66.36;2;Appartement;3;217
218;28.13;2;Appartement;1;218
219;88.14;1;Maison;4;219
220;77.91;2;Appartement;3;220
221;26.4;2;Appartement;1;221
222;119.4;2;Appartement;4;222
223;33.49;2;Appartement;1;223
224;96.4;2;Appartement;4;224
225;53.22;2;Appartement;2;225
226;142.98;2;Appartement;5;226
227;50.16;2;Appartement;2;227
228;108.49;2;Appartement;4;228
229;29.16;2;Appartement;1;229
230;79.27;1;Maison;4;230
231;64.21;2;Appartement;4;231
232;121.9;2;Appartement;5;232
233;145.28;1;Maison;4;233
234;49.99;2;Appartement;3;234
235;58.67;2;Appartement;2;235
236;55.74;1;Maison;3;236
237;77.56;2;Appartement;5;237
238;49.33;2;Appartement;2;238
239;47.02;2;Appartement;3;239
240;37.18;2;Appartement;2;240
241;106;1;Maison;6;241
242;39.62;1;Maison;3;242
243;81.62;2;Appartement;4;243
244;41.42;2;Appartement;1;244
245;62.15;2;Appartement;3;245
246;59.81;2;Appartement;4;246
247;20.45;2;Appartement;1;247
248;89.56;2;Appartement;3;248
249;570;1;Maison;6;249
250;21.4;2;Appartement;1;250
251;49.46;2;Appartement;2;251
252;45.12;2;Appartement;2;252
253;68.95;2;Appartement;3;253
254;76.95;2;Appartement;3;254
255;72.93;2;Appartement;2;255
256;65.9;2;Appartement;3;256
257;31.84;2;Appartement;2;257
258;20.69;2;Appartement;1;258
259;29.36;2;Appartement;1;259
260;67.85;2;Appartement;3;260
261;51.07;2;Appartement;3;261
262;29.21;2;Appartement;1;262
263;23.7;2;Appartement;1;263
264;73.94;2;Appartement;3;264
265;93.89;1;Maison;6;265
266;68.37;2;Appartement;3;266
267;73.65;2;Appartement;3;267
268;31.62;2;Appartement;1;268
269;60.2;2;Appartement;3;269
270;48.5;2;Appartement;3;270
271;57.74;2;Appartement;3;271
272;78.24;2;Appartement;4;272
273;64.24;2;Appartement;3;273
274;34.46;2;Appartement;2;274
275;124.01;2;Appartement;3;275
276;34.9;2;Appartement;1;276
277;22.19;2;Appartement;1;277
278;83.87;2;Appartement;4;278
279;107.77;1;Maison;5;279
280;61.4;2;Appartement;4;280
281;128.8;1;Maison;5;281
282;58.46;2;Appartement;3;282
283;40.06;2;Appartement;2;283
284;78.3;2;Appartement;4;284
285;106;2;Appartement;5;285
286;74.54;2;Appartement;3;286
287;81.72;2;Appartement;3;287
288;67.64;2;Appartement;4;288
289;42.98;2;Appartement;2;289
290;40.57;2;Appartement;2;290
291;105.71;2;Appartement;4;291
292;106.43;2;Appartement;4;292
293;29.74;2;Appartement;1;293
294;65.4;2;Appartement;3;294
295;144.6;2;Appartement;4;295
296;24.74;2;Appartement;1;296
297;32.89;2;Appartement;1;297
298;20.92;2;Appartement;1;298
299;93.76;2;Appartement;4;299
300;20.73;2;Appartement;1;300
301;26.6;2;Appartement;2;301
302;40;2;Appartement;3;302
303;27.46;2;Appartement;1;303
304;51.42;2;Appartement;2;304
305;71.39;1;Maison;3;305
306;41.16;2;Appartement;2;306
307;65.5;2;Appartement;2;307
308;34.95;2;Appartement;2;308
309;60.66;2;Appartement;3;309
310;24.32;2;Appartement;1;310
311;23.02;2;Appartement;1;311
312;59.73;2;Appartement;2;312
313;33.05;2;Appartement;2;313
314;23.25;2;Appartement;1;314
315;30.47;2;Appartement;2;315
316;28.33;2;Appartement;1;316
317;35.97;2;Appartement;1;317
318;20.85;1;Maison;2;318
319;20.55;2;Appartement;1;319
320;142.9;2;Appartement;5;320
321;18.44;2;Appartement;1;321
322;26.76;2;Appartement;1;322
323;53.1;2;Appartement;2;323
324;35.2;2;Appartement;2;324
325;18.84;2;Appartement;1;325
326;80.26;2;Appartement;3;326
327;76.81;2;Appartement;4;327
328;79.54;2;Appartement;3;328
329;72.07;2;Appartement;2;329
330;29.66;2;Appartement;2;330
331;29.03;2;Appartement;2;331
332;82.37;1;Maison;5;332
333;33.8;2;Appartement;2;333
334;19.72;2;Appartement;1;334
335;15;2;Appartement;4;335
336;58.96;2;Appartement;3;336
337;42.73;2;Appartement;2;337
338;25.32;2;Appartement;1;338
339;14.41;2;Appartement;1;339
