ID_commune;Code postal;Commune;Code departement;ID_adresse
0;1370;SAINT-ETIENNE-DU-BOIS;1;0
1;1170;CHEVRY;1;1
2;1220;DIVONNE-LES-BAINS;1;2
3;1630;PERON;1;3
4;1200;VALSERHONE;1;4
5;1350;CULOZ;1;5
6;1630;ST-GENIS-POUILLY;1;6
7;1630;ST-GENIS-POUILLY;1;7
8;1220;DIVONNE-LES-BAINS;1;8
9;1630;ST-GENIS-POUILLY;1;9
10;1630;PERON;1;10
11;1100;OYONNAX;1;11
12;1130;ST-GERMAIN-DE-JOUX;1;12
13;1170;GEX;1;13
14;1200;VALSERHONE;1;14
15;1220;DIVONNE-LES-BAINS;1;15
16;1500;AMBERIEU-EN-BUGEY;1;16
17;1170;CESSY;1;17
18;1150;SAULT-BRENAZ;1;18
19;1210;FERNEY-VOLTAIRE;1;19
20;1170;CHEVRY;1;20
21;1170;SEGNY;1;21
22;1150;LAGNIEU;1;22
23;1130;LE POIZAT-LALLEYRIAT;1;23
24;1170;GEX;1;24
25;1630;ST-GENIS-POUILLY;1;25
26;1500;AMBERIEU-EN-BUGEY;1;26
27;1300;BELLEY;1;27
28;1210;ORNEX;1;28
29;1630;ST-GENIS-POUILLY;1;29
30;1210;FERNEY-VOLTAIRE;1;30
31;1350;CULOZ;1;31
32;1150;LAGNIEU;1;32
33;1590;DORTAN;1;33
34;1500;AMBERIEU-EN-BUGEY;1;34
35;1300;BELLEY;1;35
36;1150;LAGNIEU;1;36
37;1210;FERNEY-VOLTAIRE;1;37
38;1210;FERNEY-VOLTAIRE;1;38
39;1280;PREVESSIN-MOENS;1;39
40;1110;BRENOD;1;40
41;1500;AMBERIEU-EN-BUGEY;1;41
42;1640;SAINT-JEAN-LE-VIEUX;1;42
43;1210;FERNEY-VOLTAIRE;1;43
44;1130;NANTUA;1;44
45;1500;SAINT-DENIS-EN-BUGEY;1;45
46;1710;THOIRY;1;46
47;1100;OYONNAX;1;47
48;1100;BELLIGNAT;1;48
49;1630;ST-GENIS-POUILLY;1;49
50;1280;PREVESSIN-MOENS;1;50
51;1210;FERNEY-VOLTAIRE;1;51
52;1110;PLATEAU D'HAUTEVILLE;1;52
53;1170;GEX;1;53
54;1210;FERNEY-VOLTAIRE;1;54
55;1630;ST-GENIS-POUILLY;1;55
56;1630;ST-GENIS-POUILLY;1;56
57;1410;LELEX;1;57
58;1300;BELLEY;1;58
59;1170;SEGNY;1;59
60;1170;GEX;1;60
61;1500;AMBERIEU-EN-BUGEY;1;61
62;1200;VALSERHONE;1;62
63;1210;ORNEX;1;63
64;1170;CESSY;1;64
65;1170;GEX;1;65
66;1150;LAGNIEU;1;66
67;1280;PREVESSIN-MOENS;1;67
68;1170;GEX;1;68
69;1170;VESANCY;1;69
70;1200;VALSERHONE;1;70
71;1710;THOIRY;1;71
72;1710;THOIRY;1;72
73;1580;IZERNORE;1;73
74;1500;AMBERIEU-EN-BUGEY;1;74
75;1500;AMBERIEU-EN-BUGEY;1;75
76;1630;ST-GENIS-POUILLY;1;76
77;1210;FERNEY-VOLTAIRE;1;77
78;1210;ORNEX;1;78
79;1170;ECHENEVEX;1;79
80;1170;CHEVRY;1;80
81;1280;PREVESSIN-MOENS;1;81
82;1280;PREVESSIN-MOENS;1;82
83;1710;THOIRY;1;83
84;1210;VERSONNEX;1;84
85;1200;VALSERHONE;1;85
